Rank,Company,Total revenue(US$ billion),Country
1,China Mobile,$140.5[1],China
2,Verizon,$134[2],United States
3,AT&T,$122.4[3],United States
4,Comcast,$121.6[4],United States
5,Deutsche Telekom,$120.7[5],Germany
6,Nippon Telegraph and Telephone,$97.4[6],Japan
7,China Telecom,$70.3[7],China
8,SoftBank,$55.2[8],Japan
9,Charter Communications,$54.0[9],United States
10,China Unicom,$52.8[10],China
11,Vodafone,$49.7[11],United Kingdom
12,Orange,$45.7[12],France
13,América Móvil,$43.6[13],Mexico
14,KDDI,$42.7[14],Japan
15,Telefónica,$42.0[15],Spain
16,BT Group,$26.7[16],United Kingdom
17,China Communications Services,$20.9[17],China
18,Bharti Airtel,$20.1[18],India
19,KT Corporation,$19.9[19],South Korea
20,BCE,$18.4[20],Canada
21,Saudi Telecom Company,$18.0[21],Saudi Arabia
22,Lumen,$17.5[22],United States
23,Gruppo TIM,$17.2[23],Italy
24,Telstra,$15.4[24],Australia
25,Reliance Jio,$15.0[25],India
26,SFR,$14.6[26],France
27,Telus,$14.3[27],Canada
28,Etisalat and,$14.2[28],United Arab Emirates
29,SK Telecom,$13.4[29],South Korea
30,Virgin Media O2,$12.8[30],United Kingdom
31,MTN Group,$12.6[31],South Africa
32,Rogers Communications,$11.8[32],Canada
33,Swisscom,$11.6[33],Switzerland
34,Viettel,$11.5[34],Vietnam
35,Cox Communications,$11.0[35],United States
36,Singtel,$10.9[36],Singapore
37,LG Uplus,$10.8[37],South Korea
38,Vivendi,$10.1[38],France
39,Telenor,$10.1[39],Norway
40,Telkom Indonesia,$9.8[40],Indonesia
41,Telia Company,$8.9[41],Sweden
42,VEON,$8.1[42],Netherlands
43,Vodacom,$7.5[43],South Africa
44,Chunghwa Telecom,$7.2[44],Taiwan
45,Bouygues Telecom,$7.0[45],France
46,Crown Castle International,$7.0[46],United States
47,Proximus,$6.5[47],Belgium
48,Ooredoo,$6.3[48],Qatar
49,Iliad S.A.,$6.2[49],France
50,United Internet,$6.2[50],Germany
51,Zain,$6.0[51],Kuwait
52,Taiwan Mobile,$5.9[52],Taiwan
53,Frontier Communications,$5.8[53],United States
54,Windstream Holdings,$5.7[54],United States
55,KPN,$5.6[55],Netherlands
56,Optus,$5.6[56],Australia
57,Millicom,$5.6[57],Luxembourg
58,Mobile TeleSystems,$5.6[58],Russia
59,Telephone and Data Systems,$5.4[59],United States
60,Advanced Info Service,$5.3[60],Thailand
61,Vi,$5.2[61],India
62,A1 Telekom Austria Group,$5.2[62],Austria
63,PLDT,$3.7[63],Philippines
64,MegaFon,$3.7[64],Russia
65,OTE,$3.7[65],Greece
66,Du (company),$3.6[66],United Arab Emirates
67,Telecom Argentina,$3.4[67],Argentina
68,Turkcell,$3.4[68],Turkey
69,Globe Telecom,$3.3[69],Philippines
70,Türk Telekom,$3.0[70],Turkey
71,Zayo Group,$2.6[71],United States
72,Tata Communications,$2.4[72],India
73,Telkom (South Africa),$2.3[73],South Africa
74,Maxis Communications,$2.1[74],Malaysia
75,Oi,$2.0[75],Brazil
76,Altafiber,$1.8[76],United States
77,StarHub,$1.7[77],Singapore
78,Digi Communications,$1.7[78],Romania
79,Granite Telecommunications,$1.5[79],United States
80,GTT Communications,$1.5[80],United States
81,IDT Corporation,$1.4[81],United States
82,Eir,$1.3[82],Ireland
83,Vocus Group,$1.3[83],Australia
84,Consolidated Communications,$1.2[84],United States
85,Algar Telecom,$1.1[85],Brazil
86,Cable One,$1.7[86],United States
87,Mediacom,$1.1[87],United States
88,Vonage,$1.0[88],United States
89,Cell C,$1.0[89],South Africa
